case,family,corrected,plane,N,f_pos,meanQ_pos,f_strong,Q_p99,Q_max
CC_350_8,CC,False,Bend30,8614,0.7509867657302066,96.03538457338841,0.7199907127931274,301.79099925,640.598022
CC_350_8,CC,False,Bend45,8591,0.7358863927365848,103.6265125886331,0.6932836689558841,598.1444581000009,1253.59253
CC_350_8,CC,False,Bend60,8614,0.7448339911771534,99.83158695387016,0.6430229858370096,733.04272657,1573.17578
CC_350_8,CC,False,Bend90,8740,0.7556064073226545,67.2632391173262,0.6408466819221968,165.16561603000002,378.734314
CC_350_8,CC,False,BendEnd,8740,0.7556064073226545,67.2632391173262,0.6408466819221968,165.16561603000002,378.734314
CC_350_8,CC,False,BendStart,8740,0.7524027459954233,102.40384341841379,0.7298627002288329,168.5710387100001,195.008575
CC_350_8,CC,False,ConeEnd,8456,0.7524834437086093,66.93041531797738,0.6465231788079471,132.51547560000006,138.083328
CC_350_8,CC,False,GVEnd,8449,0.5556870635578175,640.1340026221301,0.5276364066753462,4479.63726440001,6132.8877
CC_350_8,CC,False,GVEnd z680,42233,0.5238794307768806,562.9912771797864,0.5027821845476287,3370.0089068,5080.88477
CC_350_8,CC,False,GVEnd2,8449,0.6994910640312463,120.6985487555654,0.5913125813705764,494.00850560000043,745.045654
CC_350_8,CC,False,GVEnd3,8546,0.7188158202667915,85.84831863139144,0.6267259536625321,269.6685778999991,301.465637
CC_350_8,CC,False,GVEnd4,8620,0.8404872389791184,76.73997859990075,0.7532482598607889,213.42697011999982,238.000183
CC_350_8,CC,False,GVEnd5,8460,0.7653664302600472,79.49320344286353,0.6944444444444444,213.9848054,269.347748
CC_350_8,CC,False,GVEnd6,8449,0.778198603385016,79.21564522604265,0.7331045094093975,161.64915820000013,170.73848
CC_350_8,CC,False,GVStart,37089,0.7331014586535092,2511.740774188235,0.7241769796974844,21263.289860000015,32480.2969
CC_350_8,CC,False,RDTStart,2545,0.06365422396856582,3.380053696143211,0.0007858546168958742,5.87547836159996,25.0708427
CC_400_6,CC,False,Bend00,8740,0.7389016018306637,154.24471282196393,0.7260869565217392,243.60477364000002,255.027161
CC_400_6,CC,False,Bend30,8614,0.7744369630833526,122.18012062063814,0.7490132342697934,218.4583432,363.128265
CC_400_6,CC,False,Bend45,8591,0.7919916191363054,114.01904192798001,0.7706902572459551,401.98497640000045,803.191772
CC_400_6,CC,False,Bend60,8614,0.8190155560715114,109.0308417698069,0.7948688182029254,512.972349460003,1017.45117
CC_400_6,CC,False,Bend90,8740,0.8236842105263158,82.03817978736353,0.802974828375286,198.35109320000007,206.668228
CC_400_6,CC,False,BendEnd,8740,0.8236842105263158,82.03817978736353,0.802974828375286,198.35109320000007,206.668228
CC_400_6,CC,False,BendStart,8740,0.7389016018306637,154.24471291241994,0.7260869565217392,243.60477949000003,255.027161
CC_400_6,CC,False,ConeEnd,8456,0.765964995269631,92.1422738412736,0.7259933774834437,188.92965130000005,194.055573
CC_400_6,CC,False,GVEnd,8449,0.43555450349153746,1224.6784154606805,0.4224168540655699,6812.715272400015,12896.2646
CC_400_6,CC,False,GVEnd z680,50605,0.4736093271415868,1171.336988722713,0.4628396403517439,5582.4446264,11430.4219
CC_400_6,CC,False,GVEnd2,8449,0.6720321931589537,186.77481309954032,0.63403953130548,789.0672925200014,994.22583
CC_400_6,CC,False,GVEnd3,8546,0.789141118652001,116.42797727354066,0.7137842265387315,286.7856324499999,361.694458
CC_400_6,CC,False,GVEnd4,8620,0.8056844547563805,122.16076942910665,0.7619489559164733,339.19174518999995,360.10611
CC_400_6,CC,False,GVEnd5,8460,0.749290780141844,110.47411618957186,0.7212765957446808,210.76148288,218.006012
CC_400_6,CC,False,GVEnd6,8449,0.776304888152444,132.24292880746253,0.7637590247366552,251.24647332000004,265.956909
CC_400_6,CC,False,GVStart,40921,0.6479069426455853,2875.4647211460106,0.6404046821925173,21397.208980000025,32221.2656
CC_400_6,CC,False,RDTStart,2545,0.0412573673870334,4.259338327810476,0.0007858546168958742,6.232472516399998,29.739706
CC_400_8,CC,False,Bend00,8740,0.8252860411899313,72.16544507701373,0.7684210526315789,410.7290277000055,1674.54822
CC_400_8,CC,False,Bend30,8614,0.7570234501973532,75.18160225325808,0.7216159739958208,369.61423469000465,1019.71783
CC_400_8,CC,False,Bend45,8591,0.7420556396228611,74.04956470873819,0.6954952857641719,432.19640770000024,955.181763
